1.094000,-0.0243,-0.0530,0.9808,0.983
1.099000,-0.0224,-0.0537,0.9803,0.982
1.104000,-0.0259,-0.0544,0.9834,0.985
1.108000,-0.0245,-0.0518,0.9864,0.988
1.114000,-0.0251,-0.0513,0.9927,0.994
1.118000,-0.0239,-0.0511,0.9996,1.001
1.123000,-0.0229,-0.0516,1.0067,1.008
1.133000,-0.0192,-0.0526,1.0134,1.015
1.138000,-0.0138,-0.0551,1.0175,1.019
1.142000,-0.0107,-0.0515,1.0199,1.021
1.148000,-0.0062,-0.0561,1.0198,1.021
1.152000,0.0003,-0.0531,1.0212,1.023
1.157000,0.0070,-0.0536,1.0215,1.023
1.162000,0.0140,-0.0530,1.0200,1.021
1.167000,0.0187,-0.0560,1.0227,1.024
1.172000,0.0244,-0.0547,1.0202,1.022
1.176000,0.0281,-0.0540,1.0161,1.018
1.181000,0.0281,-0.0570,1.0126,1.015
1.186000,0.0321,-0.0553,1.0087,1.011
1.191000,0.0373,-0.0565,1.0027,1.005
1.196000,0.0428,-0.0567,0.9985,1.001
1.201000,0.0479,-0.0536,0.9956,0.998
1.206000,0.0491,-0.0533,0.9937,0.996
1.210000,0.0486,-0.0503,0.9912,0.994
1.215000,0.0482,-0.0472,0.9903,0.993
1.220000,0.0466,-0.0462,0.9888,0.991
1.225000,0.0440,-0.0438,0.9846,0.987
1.231000,0.0400,-0.0408,0.9806,0.982
1.235000,0.0372,-0.0396,0.9789,0.980
1.239000,0.0314,-0.0396,0.9799,0.981
1.244000,0.0265,-0.0425,0.9796,0.981
1.250000,0.0218,-0.0432,0.9784,0.980
1.255000,0.0171,-0.0447,0.9781,0.979
1.260000,0.0104,-0.0456,0.9770,0.978
1.266000,0.0073,-0.0465,0.9785,0.980
1.270000,0.0025,-0.0469,0.9778,0.979
1.275000,-0.0020,-0.0493,0.9801,0.981
1.279000,-0.0059,-0.0514,0.9862,0.988
1.284000,-0.0050,-0.0512,0.9917,0.993
1.289000,-0.0064,-0.0543,0.9960,0.997
1.294000,-0.0064,-0.0552,0.9975,0.999
1.300000,-0.0044,-0.0540,0.9964,0.998
1.304000,-0.0041,-0.0525,0.9958,0.997
1.310000,-0.0021,-0.0487,0.9944,0.996
1.316000,-0.0015,-0.0519,0.9901,0.991
1.320000,0.0005,-0.0523,0.9939,0.995
1.324000,0.0056,-0.0506,1.0020,1.003
1.334000,0.0058,-0.0518,1.0086,1.010
1.340000,0.0110,-0.0506,1.0192,1.020
1.344000,0.0103,-0.0506,1.0248,1.026
1.350000,0.0102,-0.0498,1.0275,1.029
1.354000,0.0120,-0.0470,1.0231,1.024
1.359000,0.0150,-0.0491,1.0163,1.018
1.363000,0.0131,-0.0460,1.0060,1.007
1.370000,0.0146,-0.0465,0.9959,0.997
1.373000,0.0140,-0.0476,0.9906,0.992
1.377000,0.0133,-0.0469,0.9822,0.983
1.383000,0.0133,-0.0459,0.9766,0.978
1.387000,0.0145,-0.0452,0.9745,0.976
1.391000,0.0152,-0.0460,0.9796,0.981
1.395000,0.0179,-0.0465,0.9904,0.992
1.401000,0.0203,-0.0458,1.0014,1.003
1.405000,0.0239,-0.0456,1.0092,1.011
1.410000,0.0252,-0.0455,1.0110,1.012
1.417000,0.0247,-0.0448,1.0046,1.006
1.420000,0.0238,-0.0444,0.9961,0.997
1.425000,0.0239,-0.0441,0.9858,0.987
1.430000,0.0249,-0.0445,0.9759,0.977
1.435000,0.0231,-0.0445,0.9717,0.973
1.439000,0.0215,-0.0468,0.9677,0.969
1.444000,0.0194,-0.0482,0.9668,0.968
1.451000,0.0182,-0.0482,0.9746,0.976
1.454000,0.0175,-0.0483,0.9872,0.988
1.459000,0.0173,-0.0492,1.0022,1.004
1.465000,0.0172,-0.0501,1.0172,1.019
1.470000,0.0182,-0.0486,1.0295,1.031
1.474000,0.0193,-0.0457,1.0333,1.034
1.478000,0.0166,-0.0448,1.0307,1.032
1.484000,0.0182,-0.0438,1.0270,1.028
1.489000,0.0184,-0.0411,1.0170,1.018
1.494000,0.0188,-0.0414,1.0057,1.007
1.500000,0.0199,-0.0384,0.9966,0.998
